step_index,step_name,target_potential_mV,global_time_s,step_time_s,current_uA,current_A,comment
1,COARSE_Ei_minus_100mV,87.360,41.5,0.0,-0.266738,-2.667377935228e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,41.6,0.1,-0.265326,-2.653263586898e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,41.7,0.2,-0.264104,-2.641044887026e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,41.8,0.3,-0.263071,-2.630711176483e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,41.9,0.4,-0.262218,-2.622176830828e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.0,0.5,-0.261528,-2.615283210360e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.1,0.6,-0.260981,-2.609806205376e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.2,0.7,-0.260547,-2.605468808561e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.3,0.8,-0.260196,-2.601957782833e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.4,0.9,-0.259894,-2.598943196953e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.5,1.0,-0.259610,-2.596099394199e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.6,1.1,-0.259313,-2.593125856478e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.7,1.2,-0.258977,-2.589766434923e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.8,1.3,-0.258583,-2.585825537564e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,42.9,1.4,-0.258118,-2.581180086512e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.0,1.5,-0.257579,-2.575786365092e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.1,1.6,-0.256968,-2.569681247138e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.2,1.7,-0.256298,-2.562977709279e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.3,1.8,-0.255585,-2.555854942790e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.4,1.9,-0.254854,-2.548543774312e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.5,2.0,-0.254131,-2.541308445912e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.6,2.1,-0.253443,-2.534426069854e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.7,2.2,-0.252817,-2.528165242745e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.8,2.3,-0.252277,-2.522765365280e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,43.9,2.4,-0.251842,-2.518418162990e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.0,2.5,-0.251525,-2.515252744023e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.1,2.6,-0.251333,-2.513325273598e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.2,2.7,-0.251261,-2.512614009912e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.3,2.8,-0.251302,-2.513020057395e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.4,2.9,-0.251437,-2.514373778411e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.5,3.0,-0.251645,-2.516446393971e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.6,3.1,-0.251897,-2.518965927575e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.7,3.2,-0.252164,-2.521636331214e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,44.8,3.3,-0.252416,-2.524158401775e-07,generated demonstration data
