sample_index,time_s,voltage_mV,comment
1,0.0,187.4400,OCP demonstration point
2,0.1,187.4542,OCP demonstration point
3,0.2,187.4674,OCP demonstration point
4,0.3,187.4795,OCP demonstration point
5,0.4,187.4905,OCP demonstration point
6,0.5,187.5004,OCP demonstration point
7,0.6,187.5093,OCP demonstration point
8,0.7,187.5171,OCP demonstration point
9,0.8,187.5238,OCP demonstration point
10,0.9,187.5295,OCP demonstration point
11,1.0,187.5342,OCP demonstration point
12,1.1,187.5380,OCP demonstration point
13,1.2,187.5410,OCP demonstration point
14,1.3,187.5432,OCP demonstration point
15,1.4,187.5446,OCP demonstration point
16,1.5,187.5454,OCP demonstration point
17,1.6,187.5456,OCP demonstration point
18,1.7,187.5453,OCP demonstration point
19,1.8,187.5447,OCP demonstration point
20,1.9,187.5436,OCP demonstration point
21,2.0,187.5423,OCP demonstration point
22,2.1,187.5408,OCP demonstration point
23,2.2,187.5392,OCP demonstration point
24,2.3,187.5374,OCP demonstration point
25,2.4,187.5357,OCP demonstration point
26,2.5,187.5340,OCP demonstration point
27,2.6,187.5323,OCP demonstration point
28,2.7,187.5308,OCP demonstration point
29,2.8,187.5293,OCP demonstration point
30,2.9,187.5280,OCP demonstration point
31,3.0,187.5268,OCP demonstration point
32,3.1,187.5257,OCP demonstration point
33,3.2,187.5247,OCP demonstration point
34,3.3,187.5238,OCP demonstration point
35,3.4,187.5230,OCP demonstration point
36,3.5,187.5221,OCP demonstration point
37,3.6,187.5213,OCP demonstration point
38,3.7,187.5203,OCP demonstration point
39,3.8,187.5191,OCP demonstration point
40,3.9,187.5178,OCP demonstration point
41,4.0,187.5162,OCP demonstration point
42,4.1,187.5142,OCP demonstration point
43,4.2,187.5118,OCP demonstration point
44,4.3,187.5089,OCP demonstration point
45,4.4,187.5054,OCP demonstration point
46,4.5,187.5013,OCP demonstration point
47,4.6,187.4966,OCP demonstration point
48,4.7,187.4910,OCP demonstration point
49,4.8,187.4847,OCP demonstration point
50,4.9,187.4776,OCP demonstration point
51,5.0,187.4695,OCP demonstration point
52,5.1,187.4606,OCP demonstration point
53,5.2,187.4507,OCP demonstration point
54,5.3,187.4398,OCP demonstration point
55,5.4,187.4281,OCP demonstration point
56,5.5,187.4154,OCP demonstration point
57,5.6,187.4019,OCP demonstration point
58,5.7,187.3875,OCP demonstration point
59,5.8,187.3722,OCP demonstration point
60,5.9,187.3563,OCP demonstration point
61,6.0,187.3396,OCP demonstration point
62,6.1,187.3224,OCP demonstration point
63,6.2,187.3047,OCP demonstration point
64,6.3,187.2866,OCP demonstration point
65,6.4,187.2682,OCP demonstration point
66,6.5,187.2497,OCP demonstration point
67,6.6,187.2311,OCP demonstration point
68,6.7,187.2126,OCP demonstration point
69,6.8,187.1943,OCP demonstration point
70,6.9,187.1764,OCP demonstration point
71,7.0,187.1590,OCP demonstration point
72,7.1,187.1423,OCP demonstration point
73,7.2,187.1263,OCP demonstration point
74,7.3,187.1112,OCP demonstration point
75,7.4,187.0972,OCP demonstration point
76,7.5,187.0843,OCP demonstration point
77,7.6,187.0727,OCP demonstration point
78,7.7,187.0625,OCP demonstration point
79,7.8,187.0538,OCP demonstration point
80,7.9,187.0467,OCP demonstration point
81,8.0,187.0412,OCP demonstration point
82,8.1,187.0375,OCP demonstration point
83,8.2,187.0354,OCP demonstration point
84,8.3,187.0352,OCP demonstration point
85,8.4,187.0368,OCP demonstration point
86,8.5,187.0403,OCP demonstration point
87,8.6,187.0455,OCP demonstration point
88,8.7,187.0526,OCP demonstration point
89,8.8,187.0614,OCP demonstration point
90,8.9,187.0719,OCP demonstration point
